id;name;count;type
767;Ginásio;3;NULL
768;"Canteiro de obras";6;NULL
769;Metrô;9;NULL
770;"Cobertura de vidro";2;NULL
771;"Cimento queimado";2;NULL
772;"Chão batido";28;NULL
773;"Palmeira imperia";1;NULL
774;imigrantes;1;NULL
775;"Bolsa do Café";1;NULL
776;exportação;1;NULL
777;1922;1;NULL
778;porto;2;NULL
779;"centro histórico";3;NULL
780;cafeeira;1;NULL
781;imigrante;1;NULL
782;"Ciclo do Café";1;NULL
783;café;1;NULL
784;Santos;3;NULL
785;cafeeiro;1;NULL
786;panteão;2;NULL
787;independência;2;NULL
788;"Panteão dos Andradas";2;NULL
789;Pantheon;2;NULL
790;Andradas;2;NULL
791;"José Bonifácio de Andrada e Silva";2;NULL
792;"José Bonifácio";2;NULL
793;"Instituto Inhotim";2;NULL
794;brasileira;1;NULL
795;"arte contemporânea";1;NULL
796;art;1;NULL
797;"Galeria Adriana Varejão";1;NULL
798;"Adriana Varejão";13;NULL
799;Inhotim;14;NULL
800;arte;4;NULL
801;"galeria de arte";1;NULL
802;poema;1;NULL
803;"Simon Lane";1;NULL
804;"artista plástico";1;NULL
805;"True Rouge";1;NULL
806;Tunga;1;NULL
807;"Victor Brecheret";2;NULL
808;"IV centenário de São Paulo";2;NULL
809;"Parque Ibirapuera";2;NULL
810;Ibirapuera;5;NULL
811;"Monumento às Bandeiras";2;NULL
812;"Ouro Preto";1;NULL
813;"ciclo do ouro";1;NULL
814;"arquitetura barroca";1;NULL
815;"barroco tardio";1;NULL
816;"inconfidência mineira";1;NULL
817;"século XVIII";3;NULL
818;"Museu da Inconfidência";1;NULL
819;"Minas Gerais";9;NULL
820;cantaria;18;NULL
821;"casa de câmara e cadeia";1;NULL
822;"Igreja barroca";1;NULL
823;"ciclo do ouro.";1;NULL
824;"Igreja Matriz de Santo Antônio";1;NULL
825;"fotografia noturna";1;NULL
826;"arquitetura histórica";1;NULL
827;"Orlando Barbosa de Freitas";8;NULL
828;Eternit;8;NULL
829;maisonteste2;1;NULL
830;maisonteste;3;NULL
831;maisonteste3;1;NULL
832;"Concreto com ferro";17;NULL
833;"Predio de meia";1;NULL
834;"concerto geral";6;NULL
835;victorteste;2;NULL
836;parati;2;NULL
837;"rua da praia";2;NULL
838;ouro;1;NULL
839;Paraty;2;NULL
840;janeiro;1;NULL
841;zoológico;1;NULL
842;girafa;1;NULL
843;são;1;NULL
844;paulo;1;NULL
845;Brasília;6;NULL
846;Niemeyer;3;NULL
847;JK;1;NULL
848;"Copan Prédio Abstração Concreto Moderno";3;NULL
849;"Copan Edifício Abstração Concreto Modernista";2;NULL
850;"Pinheiro Gonçalves";1;NULL
851;pérgolas;1;NULL
852;Lazer;5;NULL
853;"Ponte elevada";1;NULL
854;mineiro;1;NULL
855;triângulo;1;NULL
856;difusão;7;NULL
857;schroden;2;NULL
858;"triângulo mineiro";6;NULL
859;regionalismo;4;NULL
860;tapiocanga;1;NULL
861;morada;1;NULL
862;palmeiras;1;NULL
863;Municipal;1;NULL
864;"uso misto";8;NULL
865;misto;1;NULL
866;Níveis;1;NULL
867;Transparência;1;NULL
868;Sombra;1;NULL
869;Garrefa;1;NULL
870;Volume;3;NULL
871;Bratke;2;NULL
872;Coletor;9;NULL
873;Sapê;1;NULL
874;Pós-moderno;2;NULL
875;Scatena;2;NULL
876;"isabella dalfovo";1;NULL
877;"casa do lago";1;NULL
878;Cunha;14;NULL
879;Gonçalves;9;NULL
880;"Abóbada catalã";2;NULL
881;Corbusier;2;NULL
882;Modulor;2;NULL
883;"templo zu lai budista budismo";1;NULL
884;"jardim chinês templo zu lai vegetação paisagismo cotia";1;NULL
885;Sobrado;4;NULL
886;"Térreo Comercial";1;NULL
887;Armazém;7;NULL
888;Confeitaria;1;NULL
889;"Arquitetura Popular";3;NULL
890;"Arquitetura Fantástica";4;NULL
891;"Casa de Cacos";11;NULL
892;"Arquitetura Vernacular";2;NULL
893;"Arquitetura Espontânea";10;NULL
894;Contagem;4;NULL
895;Cor;1;NULL
896;Revestimento;1;NULL
897;Plano;1;NULL
898;UFMT;5;NULL
899;Cuiabá;7;NULL
900;Antigo;3;NULL
901;OSESP;3;NULL
902;CPTM;3;NULL
903;"Julio Prestes";3;NULL
904;Curva;4;NULL
905;"Laje Inundada";1;NULL
906;Quebra-sol;5;NULL
907;abandonado;0;NULL
908;"Largo do Paissandú";13;NULL
909;"wilton paes de almeida";0;NULL
910;"roger zmkhol";0;NULL
911;1961;0;NULL
912;cine;2;NULL
913;"Igreja de Nossa Senhora do Rosário dos Homens Pretos";5;NULL
914;anhangabaú;4;NULL
915;"vista aérea";0;NULL
916;martinelli;3;NULL
917;"vale do anhangabaú";5;NULL
918;"praça das artes";3;NULL
919;zarzur;1;NULL
920;"cine paissandú";1;NULL
